output_size,region,task_idx,task,rollout,success,steps,jerk
24,above_nyquist,8,chocolate_pudding,9,1,155,0.01499
24,above_nyquist,9,orange_juice,0,0,400,0.03267
24,above_nyquist,9,orange_juice,1,0,400,0.02965
24,above_nyquist,9,orange_juice,2,0,400,0.03121
24,above_nyquist,9,orange_juice,3,0,400,0.03001
24,above_nyquist,9,orange_juice,4,1,120,0.0149
24,above_nyquist,9,orange_juice,5,0,400,0.02809
24,above_nyquist,9,orange_juice,6,1,110,0.01265
24,above_nyquist,9,orange_juice,7,1,153,0.02255
24,above_nyquist,9,orange_juice,8,1,109,0.01405
24,above_nyquist,9,orange_juice,9,1,111,0.01241
32,above_nyquist,0,alphabet_soup,0,1,169,0.02408
32,above_nyquist,0,alphabet_soup,1,1,150,0.02288
32,above_nyquist,0,alphabet_soup,2,1,144,0.02264
32,above_nyquist,0,alphabet_soup,3,0,400,0.0358
32,above_nyquist,0,alphabet_soup,4,1,247,0.03386
32,above_nyquist,0,alphabet_soup,5,1,150,0.02254
32,above_nyquist,0,alphabet_soup,6,1,167,0.02408
32,above_nyquist,0,alphabet_soup,7,1,195,0.02649
32,above_nyquist,0,alphabet_soup,8,1,211,0.02377
32,above_nyquist,0,alphabet_soup,9,1,195,0.02808
32,above_nyquist,1,cream_cheese,0,1,128,0.01904
32,above_nyquist,1,cream_cheese,1,1,122,0.01619
32,above_nyquist,1,cream_cheese,2,1,122,0.01825
32,above_nyquist,1,cream_cheese,3,0,400,0.0382
32,above_nyquist,1,cream_cheese,4,1,126,0.0198
32,above_nyquist,1,cream_cheese,5,1,134,0.0198
32,above_nyquist,1,cream_cheese,6,1,122,0.01654
32,above_nyquist,1,cream_cheese,7,0,400,0.0378
32,above_nyquist,1,cream_cheese,8,0,400,0.03513
32,above_nyquist,1,cream_cheese,9,1,157,0.02114
32,above_nyquist,2,salad_dressing,0,1,160,0.02617
32,above_nyquist,2,salad_dressing,1,1,97,0.02212
32,above_nyquist,2,salad_dressing,2,1,127,0.02479
32,above_nyquist,2,salad_dressing,3,1,103,0.02294
32,above_nyquist,2,salad_dressing,4,0,400,0.02985
32,above_nyquist,2,salad_dressing,5,1,103,0.02378
32,above_nyquist,2,salad_dressing,6,1,101,0.02237
32,above_nyquist,2,salad_dressing,7,1,200,0.02989
32,above_nyquist,2,salad_dressing,8,1,176,0.03034
32,above_nyquist,2,salad_dressing,9,1,108,0.02262
32,above_nyquist,3,bbq_sauce,0,0,400,0.03544
32,above_nyquist,3,bbq_sauce,1,1,272,0.03338
32,above_nyquist,3,bbq_sauce,2,1,123,0.02267
32,above_nyquist,3,bbq_sauce,3,1,161,0.02246
32,above_nyquist,3,bbq_sauce,4,0,400,0.02966
32,above_nyquist,3,bbq_sauce,5,0,400,0.03367
32,above_nyquist,3,bbq_sauce,6,0,400,0.03275
32,above_nyquist,3,bbq_sauce,7,0,400,0.0313
32,above_nyquist,3,bbq_sauce,8,1,124,0.02552
32,above_nyquist,3,bbq_sauce,9,0,400,0.03126
32,above_nyquist,4,ketchup,0,0,400,0.0235
32,above_nyquist,4,ketchup,1,0,400,0.02661
32,above_nyquist,4,ketchup,2,0,400,0.01956
32,above_nyquist,4,ketchup,3,0,400,0.0248
32,above_nyquist,4,ketchup,4,0,400,0.02958
32,above_nyquist,4,ketchup,5,0,400,0.0187
32,above_nyquist,4,ketchup,6,0,400,0.01832
32,above_nyquist,4,ketchup,7,0,400,0.02946
32,above_nyquist,4,ketchup,8,0,400,0.03055
32,above_nyquist,4,ketchup,9,0,400,0.02454
32,above_nyquist,5,tomato_sauce,0,1,354,0.03865
32,above_nyquist,5,tomato_sauce,1,1,371,0.05061
32,above_nyquist,5,tomato_sauce,2,0,400,0.05021
32,above_nyquist,5,tomato_sauce,3,0,400,0.04121
32,above_nyquist,5,tomato_sauce,4,0,400,0.04345
32,above_nyquist,5,tomato_sauce,5,1,285,0.04188
32,above_nyquist,5,tomato_sauce,6,1,364,0.05867
32,above_nyquist,5,tomato_sauce,7,1,359,0.03914
32,above_nyquist,5,tomato_sauce,8,1,231,0.03758
32,above_nyquist,5,tomato_sauce,9,1,157,0.03548
32,above_nyquist,6,butter,0,1,193,0.02783
32,above_nyquist,6,butter,1,1,183,0.02337
32,above_nyquist,6,butter,2,1,203,0.02846
32,above_nyquist,6,butter,3,1,175,0.02299
32,above_nyquist,6,butter,4,1,175,0.0242
32,above_nyquist,6,butter,5,1,211,0.03091
32,above_nyquist,6,butter,6,1,157,0.02186
32,above_nyquist,6,butter,7,1,203,0.03195
32,above_nyquist,6,butter,8,1,147,0.01933
32,above_nyquist,6,butter,9,1,167,0.02331
32,above_nyquist,7,milk,0,1,128,0.01641
32,above_nyquist,7,milk,1,0,400,0.02201
32,above_nyquist,7,milk,2,1,125,0.01873
32,above_nyquist,7,milk,3,0,400,0.01768
32,above_nyquist,7,milk,4,1,127,0.0172
32,above_nyquist,7,milk,5,0,400,0.01876
32,above_nyquist,7,milk,6,0,400,0.01933
32,above_nyquist,7,milk,7,1,128,0.01624
32,above_nyquist,7,milk,8,1,128,0.016
32,above_nyquist,7,milk,9,1,122,0.01767
32,above_nyquist,8,chocolate_pudding,0,1,229,0.02322
32,above_nyquist,8,chocolate_pudding,1,1,194,0.02014
32,above_nyquist,8,chocolate_pudding,2,1,196,0.01956
32,above_nyquist,8,chocolate_pudding,3,1,212,0.02196
32,above_nyquist,8,chocolate_pudding,4,1,178,0.02026
32,above_nyquist,8,chocolate_pudding,5,1,146,0.01778
32,above_nyquist,8,chocolate_pudding,6,0,400,0.02124
32,above_nyquist,8,chocolate_pudding,7,1,189,0.02034
32,above_nyquist,8,chocolate_pudding,8,1,212,0.02267
32,above_nyquist,8,chocolate_pudding,9,1,162,0.01657
32,above_nyquist,9,orange_juice,0,0,400,0.03594
32,above_nyquist,9,orange_juice,1,0,400,0.0313
32,above_nyquist,9,orange_juice,2,0,400,0.03183
32,above_nyquist,9,orange_juice,3,0,400,0.03102
32,above_nyquist,9,orange_juice,4,0,400,0.02785
32,above_nyquist,9,orange_juice,5,1,92,0.02096
32,above_nyquist,9,orange_juice,6,1,307,0.02315
32,above_nyquist,9,orange_juice,7,1,102,0.01631
32,above_nyquist,9,orange_juice,8,1,370,0.02665
32,above_nyquist,9,orange_juice,9,1,102,0.0161
