perturb,severity,task_idx,task,rollout,success,steps,jerk
noise,2,5,tomato_sauce,6,1,142,0.03338
noise,2,5,tomato_sauce,7,0,400,0.03737
noise,2,5,tomato_sauce,8,0,400,0.03219
noise,2,5,tomato_sauce,9,1,140,0.03406
noise,2,6,butter,0,1,186,0.02726
noise,2,6,butter,1,1,159,0.02338
noise,2,6,butter,2,0,400,0.0339
noise,2,6,butter,3,1,244,0.02814
noise,2,6,butter,4,1,162,0.02309
noise,2,6,butter,5,1,159,0.02227
noise,2,6,butter,6,1,159,0.02458
noise,2,6,butter,7,0,400,0.03799
noise,2,6,butter,8,0,400,0.03401
noise,2,6,butter,9,1,161,0.01948
noise,2,7,milk,0,0,400,0.03784
noise,2,7,milk,1,1,141,0.01691
noise,2,7,milk,2,1,150,0.01712
noise,2,7,milk,3,0,400,0.03685
noise,2,7,milk,4,1,150,0.01853
noise,2,7,milk,5,1,140,0.01696
noise,2,7,milk,6,1,145,0.02028
noise,2,7,milk,7,1,145,0.01675
noise,2,7,milk,8,0,400,0.03845
noise,2,7,milk,9,1,144,0.01719
noise,2,8,chocolate_pudding,0,0,400,0.03702
noise,2,8,chocolate_pudding,1,1,205,0.02003
noise,2,8,chocolate_pudding,2,0,400,0.03768
noise,2,8,chocolate_pudding,3,0,400,0.04047
noise,2,8,chocolate_pudding,4,0,400,0.03818
noise,2,8,chocolate_pudding,5,0,400,0.03798
noise,2,8,chocolate_pudding,6,0,400,0.03659
noise,2,8,chocolate_pudding,7,0,400,0.0368
noise,2,8,chocolate_pudding,8,1,232,0.02037
noise,2,8,chocolate_pudding,9,1,217,0.01898
noise,2,9,orange_juice,0,1,122,0.0175
noise,2,9,orange_juice,1,0,400,0.03741
noise,2,9,orange_juice,2,0,400,0.03714
noise,2,9,orange_juice,3,0,400,0.03886
noise,2,9,orange_juice,4,1,332,0.03327
noise,2,9,orange_juice,5,1,123,0.01749
noise,2,9,orange_juice,6,1,119,0.01998
noise,2,9,orange_juice,7,1,130,0.01824
noise,2,9,orange_juice,8,0,400,0.04109
noise,2,9,orange_juice,9,1,122,0.02288
noise,3,0,alphabet_soup,0,1,230,0.0352
noise,3,0,alphabet_soup,1,1,150,0.02245
noise,3,0,alphabet_soup,2,1,154,0.0226
noise,3,0,alphabet_soup,3,1,143,0.02401
noise,3,0,alphabet_soup,4,1,200,0.02674
noise,3,0,alphabet_soup,5,1,152,0.02799
noise,3,0,alphabet_soup,6,1,152,0.02717
