model,params,task_idx,task,rollout,success,steps,jerk
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,0,1,210,0.02451
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,1,1,178,0.02289
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,2,1,180,0.02188
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,3,0,400,0.03652
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,4,1,179,0.02265
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,5,1,179,0.02144
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,6,1,191,0.02039
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,7,1,183,0.02396
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,8,1,183,0.02176
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,9,1,185,0.02178
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,10,1,175,0.02387
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,11,1,136,0.01816
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,12,1,180,0.02045
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,13,1,172,0.02124
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,14,1,135,0.01807
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,15,1,180,0.02146
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,16,1,177,0.02271
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,17,1,235,0.0291
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,18,0,400,0.037
FNO-VLA_sv_ep5,28.9M,0,alphabet_soup,19,1,223,0.02332
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,0,0,400,0.04071
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,1,1,176,0.02388
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,2,0,400,0.03784
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,3,0,400,0.03963
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,4,1,160,0.02186
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,5,0,400,0.04033
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,6,0,400,0.03924
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,7,0,400,0.03992
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,8,0,400,0.04709
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,9,1,176,0.02358
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,10,0,400,0.03155
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,11,1,168,0.02309
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,12,1,147,0.02137
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,13,0,400,0.0391
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,14,1,185,0.02312
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,15,0,400,0.0347
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,16,0,400,0.03528
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,17,0,400,0.03575
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,18,0,400,0.03961
FNO-VLA_sv_ep5,28.9M,1,cream_cheese,19,1,188,0.02222
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,0,1,135,0.01799
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,1,0,400,0.04137
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,2,1,120,0.01689
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,3,1,128,0.01748
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,4,1,169,0.02034
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,5,1,128,0.01926
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,6,1,127,0.01715
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,7,1,129,0.01665
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,8,1,134,0.01834
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,9,1,133,0.02095
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,10,0,400,0.03849
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,11,1,134,0.02053
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,12,1,131,0.01831
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,13,1,132,0.01413
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,14,1,132,0.01905
FNO-VLA_sv_ep5,28.9M,2,salad_dressing,15,1,132,0.01798
